946156,PDT000744709.1,2020-05-24T04:21:30Z,SAMN15004787,GCA_013155845.1
1550727,PDT001209857.1,2021-12-22T08:37:39Z,SAMN24286948,GCA_021266885.1
1544923,PDT001207996.1,2021-12-21T08:43:38Z,SAMN24251621,GCA_021252385.1
1544924,PDT001208026.1,2021-12-21T08:43:47Z,SAMN24251649,GCA_021252245.1
1554551,PDT001214657.1,2022-01-01T09:33:56Z,SAMN24539588,GCA_021345785.1
1556702,PDT001220369.1,2022-01-11T07:31:06Z,SAMN24809994,GCA_021436845.1
985910,PDT000836997.1,2020-09-16T04:24:21Z,SAMN16167760,GCA_014598635.1
1001208,PDT000860223.1,2020-10-13T04:22:33Z,SAMN16422591,GCA_014888375.1
998494,PDT000859080.1,2020-10-09T05:22:50Z,SAMN16399102,GCA_015012455.1
1001202,PDT000859918.1,2020-10-12T04:29:16Z,SAMN16415673,GCA_014914615.1
161923,PDT000155240.3,2016-11-02T22:18:51Z,SAMN05964146,GCA_020372525.1
1004037,PDT000862405.1,2020-10-19T23:24:14Z,SAMN16451145,GCA_017978185.1
288742,PDT000155905.3,2016-11-03T04:18:52Z,SAMN05966644,GCA_012572925.1
1004109,PDT000862535.1,2020-10-20T00:27:16Z,SAMN16452380,GCA_014959045.1
1010154,PDT000869879.1,2020-10-28T05:25:20Z,SAMN16570886,GCA_018040105.1
1021659,PDT000884719.1,2020-11-10T06:27:36Z,SAMN16710305,GCA_018037985.1
1010669,PDT000866953.1,2020-10-25T05:24:21Z,SAMN16537971,GCA_014970765.1
1049319,PDT000918794.1,2020-12-20T10:36:00Z,SAMN17106464,GCA_016131205.1
1049296,PDT000918803.1,2020-12-20T10:36:03Z,SAMN17106545,GCA_016131785.1
360301,PDT000242406.3,2017-09-21T06:36:10Z,SAMN07672963,GCA_012397645.1
1044992,PDT000917276.1,2020-12-18T17:17:14Z,SAMN17071954,GCA_016119105.1
1045005,PDT000917284.1,2020-12-18T17:17:16Z,SAMN17071958,GCA_016120405.1
1051422,PDT000920067.1,2020-12-21T23:25:05Z,SAMN17124995,GCA_016243655.1
1049290,PDT000939009.1,2021-01-21T06:27:23Z,SAMN17391103,GCA_017249395.1
556790,PDT000335804.1,2018-06-25T06:01:12Z,SAMN09476352,GCA_014392745.1
1078122,PDT000945499.1,2021-02-01T06:22:47Z,SAMN17715061,GCA_017180935.1
731838,PDT000497794.2,2019-05-04T04:50:00Z,SAMN11570037,GCA_011950445.1
1169213,PDT001018277.1,2021-05-04T04:30:06Z,SAMN18987010,GCA_018263675.1
1184322,PDT001046148.1,2021-05-25T05:34:21Z,SAMN19319881,GCA_018501565.1
